Yr,Team,Total_Goals,Total_Assists,Total_Shots,Total_Points,Total_Plus_Minus,Total_PIM,Num_Games,AVG_Goals,AVG_Assists,AVG_Points,AVG_PIM,AVG_Shots,AVG_Plus_Minus
Fr,Boston College,80.0,132.0,437.0,212.0,104.0,146.0,39.0,2.051282051282051,3.3846153846153846,5.435897435897436,3.7435897435897436,11.205128205128204,2.6666666666666665
Fr,Boston University,60.0,87.0,415.0,147.0,109.0,107.0,39.0,1.5384615384615385,2.230769230769231,3.769230769230769,2.7435897435897436,10.64102564102564,2.7948717948717947
Fr,Denver,57.0,103.0,430.0,160.0,105.0,149.0,42.0,1.3571428571428572,2.4523809523809526,3.8095238095238093,3.5476190476190474,10.238095238095237,2.5
Fr,Michigan,33.0,37.0,272.0,70.0,9.0,89.0,40.0,0.825,0.925,1.75,2.225,6.8,0.225
Gr,Boston College,17.0,20.0,104.0,37.0,12.0,29.0,39.0,0.4358974358974359,0.5128205128205128,0.9487179487179487,0.7435897435897436,2.6666666666666665,0.3076923076923077
Gr,Boston University,14.0,12.0,117.0,26.0,34.0,42.0,39.0,0.358974358974359,0.3076923076923077,0.6666666666666666,1.0769230769230769,3.0,0.8717948717948718
Gr,Michigan,5.0,16.0,92.0,21.0,4.0,30.0,40.0,0.125,0.4,0.525,0.75,2.3,0.1
Jr,Boston College,6.0,23.0,116.0,29.0,26.0,57.0,39.0,0.15384615384615385,0.5897435897435898,0.7435897435897436,1.4615384615384615,2.9743589743589745,0.6666666666666666
Jr,Boston University,7.0,17.0,92.0,24.0,14.0,28.0,39.0,0.1794871794871795,0.4358974358974359,0.6153846153846154,0.717948717948718,2.358974358974359,0.358974358974359
Jr,Denver,78.0,162.0,523.0,240.0,135.0,108.0,42.0,1.8571428571428572,3.857142857142857,5.714285714285714,2.5714285714285716,12.452380952380953,3.2142857142857144
Jr,Michigan,36.0,48.0,282.0,84.0,33.0,140.0,40.0,0.9,1.2,2.1,3.5,7.05,0.825
So,Boston College,65.0,93.0,451.0,158.0,98.0,95.0,39.0,1.6666666666666667,2.3846153846153846,4.051282051282051,2.4358974358974357,11.564102564102564,2.5128205128205128
So,Boston University,56.0,123.0,417.0,179.0,55.0,118.0,39.0,1.435897435897436,3.1538461538461537,4.589743589743589,3.0256410256410255,10.692307692307692,1.4102564102564104
So,Denver,44.0,56.0,284.0,100.0,60.0,79.0,42.0,1.0476190476190477,1.3333333333333333,2.380952380952381,1.880952380952381,6.761904761904762,1.4285714285714286
So,Michigan,92.0,175.0,639.0,267.0,72.0,125.0,40.0,2.3,4.375,6.675,3.125,15.975,1.8
Sr,Boston College,11.0,51.0,143.0,62.0,33.0,44.0,39.0,0.28205128205128205,1.3076923076923077,1.5897435897435896,1.1282051282051282,3.6666666666666665,0.8461538461538461
Sr,Boston University,25.0,46.0,246.0,71.0,52.0,145.0,39.0,0.6410256410256411,1.1794871794871795,1.8205128205128205,3.717948717948718,6.3076923076923075,1.3333333333333333
Sr,Denver,19.0,27.0,110.0,46.0,34.0,78.0,42.0,0.4523809523809524,0.6428571428571429,1.0952380952380953,1.8571428571428572,2.619047619047619,0.8095238095238095
Sr,Michigan,3.0,25.0,110.0,28.0,7.0,104.0,40.0,0.075,0.625,0.7,2.6,2.75,0.175
