Name,2021_census,2021 census %,Land area (km2)
Ontario,"14,223,942",38.45%,"908,699.33"
Quebec,"8,501,833",22.98%,"1,356,625.27"
British Columbia,"5,000,879",13.52%,"922,503.01"
Alberta,"4,262,635",11.52%,"640,330.46"
Manitoba,"1,342,153",3.63%,"552,370.99"
Saskatchewan,"1,132,505",3.06%,"588,243.54"
Nova Scotia,"969,383",2.62%,"52,942.27"
New Brunswick,"775,610",2.09%,"71,388.81"
Newfoundland and Labrador,"510,550",1.38%,"370,514.08"
Prince Edward Island,"154,331",0.42%,"5,686.03"
Northwest Territories,"41,070",0.11%,"1,143,793.86"
Yukon,"40,232",0.11%,"474,712.68"
Nunavut,"36,858",0.10%,"1,877,778.53"
