Player,2023-10-07-Lake Superior-Michigan State,2023-10-08-Lake Superior-Michigan State,2023-10-12-Michigan State-Air Force,2023-10-13-Michigan State-Air Force,2023-10-19-Canisius-Michigan State,2023-10-20-Canisius-Michigan State,2023-10-26-Michigan State-Boston College,2023-10-27-Michigan State-Boston College
Artyom Levshunov,0.9207932692307692,1.905,0.45,0.5107932692307692,0.9750000000000001,1.6149999999999998,0.5457932692307692,0.715
Austin Oravetz,0.0,0.0,1.24,-0.375,0.5457932692307692,0.07499999999999998,0.6957932692307691,0.15
Daniel Russell,0.5249999999999999,1.015,1.125,0.5007932692307693,2.775,1.2207932692307693,0.32079326923076923,0.32079326923076923
David Gucciardi,1.005,0.6207932692307692,0.6957932692307692,-0.15,0.15,0.49158653846153844,1.0373798076923078,0.44999999999999996
Gavin Best,0.0,0.0,0.0,0.0,0.22499999999999998,0.0,0.0,0.0
Gavin O'Connell,1.155,0.29999999999999993,1.425,0.75,1.24,0.22499999999999998,1.165,0.375
Griffin Jurecki,0.0,0.0,0.0,0.0,0.0,-0.075,0.0,0.0
Isaac Howard,1.670793269230769,0.14999999999999997,1.015,0.6399999999999999,1.7950000000000002,0.93,1.3350000000000002,1.1757932692307693
James Crossman,0.0,0.0,0.0,-0.3,0.0,0.0,0.0,0.29999999999999993
Jeremy Davidson,1.2399999999999998,0.865,1.165,0.1707932692307692,0.6207932692307692,0.49158653846153844,1.2,0.235
Joey Larson,0.995,1.1649999999999998,0.865,3.0300000000000002,1.275,0.61,0.9299999999999999,0.365
Karsen Dorwart,0.6749999999999999,1.1849999999999998,1.28,1.1949999999999998,1.21,1.0707932692307691,2.2207932692307693,1.310793269230769
Matt Basgall,0.37499999999999994,0.22499999999999998,1.785,-0.05420673076923077,1.165,0.15,0.375,0.22499999999999998
Maxim Štrbák,0.6,0.14999999999999997,0.6957932692307692,-0.07500000000000001,1.275,0.865,0.3,0.375
Nash Nienhuis,2.0649999999999995,0.14999999999999997,0.675,0.33,0.855,1.1550000000000002,0.855,0.22499999999999998
Nicolas Muller,2.28,1.525,1.4407932692307692,0.31,0.7257932692307691,1.84,1.015,0.47
Owen Baker,0.0,0.0,0.0,-0.22499999999999998,0.0,0.49158653846153844,0.0,0.3
Patrick Geary,0.44999999999999996,1.335793269230769,0.0,0.0,0.0,0.0,0.0,0.0
Red Savage,2.125,1.400793269230769,2.0100000000000002,0.75,1.7707932692307693,0.3957932692307692,1.825,0.33999999999999997
Reed Lebster,0.6749999999999999,1.275,1.530793269230769,-0.22499999999999998,1.9549999999999998,0.6,1.165,0.0
Tanner Kelly,1.165,0.23499999999999996,0.7707932692307693,-0.22499999999999998,0.3,0.0,0.375,0.15
Tiernan Shoudy,0.8207932692307691,0.875,0.7357932692307692,-0.295,1.1323798076923077,0.019999999999999997,0.5157932692307692,0.535
Tommi Männistö,1.315,0.44999999999999996,0.525,0.0,0.5249999999999999,0.0,0.44999999999999996,0.3957932692307692
Viktor Hurtig,1.5,0.07499999999999998,0.6207932692307692,0.0,0.0,0.0,0.0,0.0
