Team,Arena,Capacity,Sheet_width,Sheet_length
Wisconsin,Kohl Center,15237,200,97
North Dakota,Ralph Engelstad Arena,11568,200,85
Minnesota,3M Arena at Mariucci,10000,200,89
Massachusetts,William D. Mullins Center,8373,200,95
Omaha,Baxter Arena,7898,200,85
Boston College,Conte Forum (Kelley Rink),7884,200,87
Ohio State,Value City Arena,7700,200,85
American Int'l,MassMutual Center,6866,200,85
Minnesota-Duluth,AMSOIL Arena,6800,200,85
New Hampshire,Whittemore Center,6501,200,90
Mass.-Lowell,Tsongas Center,6496,200,85
Michigan State,Munn Ice Arena,6470,200,85
Boston University,Agganis Arena,6300,200,90
Denver,Magness Arena,6026,200,85
Michigan,Yost Ice Arena,5800,200,85
Penn State,Pegula Ice Arena,5704,200,85
Minnesota State,Mayo Clinic Event Center,5280,200,90
St. Cloud State,Herb Brooks National Hockey Center,5159,200,100
Maine,Alfond Arena,5043,200,85
Notre Dame,Compton Family Ice Arena,5022,200,90
Arizona State,Mullett Arena,5000,200,85
Bowling Green,Slater Family Ice Arena,5000,200,85
Rensselaer,Houston Field House,4780,200,85
Northeastern,Matthews Arena,4666,200,90
Alaska,Carlson Center,4595,200,100
Dartmouth,Thompson Arena,4500,200,90
Bemidji State,Sanford Center,4373,200,85
Cornell,Lynah Rink,4300,200,85
RIT,Gene Polisseni Center,4300,200,85
Michigan Tech,MacInnes Student Ice Arena,4200,200,85
Vermont,Gutterson Fieldhouse,4003,200,90
Utica,Utica Memorial Auditorium,4000,200,85
Northern Michigan,Berry Events Center,3800,200,94
Western Michigan,Lawson Ice Arena,3667,200,85
Miami,Goggin Ice Center (Steve Cady Rink),3642,200,85
Sacred Heart,Martire Family Arena,3600,200,85
Yale,Ingalls Rink,3500,200,85
Colorado College,Robson Arena,3400,200,85
Lake Superior,Taffy Abel Arena,3373,200,85
Quinnipiac,M&T Bank Arena,3286,200,85
Augustana,Midco Arena,3082,200,85
Providence,Schneider Arena,3030,200,85
Clarkson,Cheel Arena,3000,200,85
St. Lawrence,Appleton Arena,3000,200,85
Harvard,Bright Hockey Center,2776,204,87
Army,Tate Rink,2648,200,90
Connecticut,Toscano Forum,2600,200,85
Merrimack,J. Thom Lawler Rink,2549,200,85
Union,Achilles Center,2504,200,85
Lindenwood,Centene Center,2500,200,85
Long Island,Northwell Health Ice Center,2500,200,85
Brown,Meehan Auditorium,2495,200,85
Air Force,Cadet Ice Arena,2470,200,85
Ferris State,Ewigleben Ice Arena,2457,200,85
Bentley,Bentley Arena,2117,200,85
Colgate,Class of 1965 Arena,2100,200,85
Niagara,Dwyer Arena,2100,200,85
Princeton,Hobey Baker Rink,2100,200,85
Canisius,Harborcenter,1800,200,85
Robert Morris,Clearview Arena,1589,200,85
Mercyhurst,Mercyhurst Ice Center,1500,200,85
Holy Cross,Hart Recreation Center,1400,200,85
St. Thomas,St. Thomas Ice Arena,1000,200,85
Stonehill,Bridgewater Ice Arena,1000,200,85
Alaska-Anchorage,Avis Alaska Sports Complex,800,200,85
