Team,GameCount,TotalPenaltyMinutes,TotalPenaltyCount,UniquePlayersPenalized,Minor_Minutes,Misconduct_Minutes,Major_Minutes,Game Flow Disruptions_Minutes,Illegal Contact_Minutes,Stick Infractions_Minutes,Contact to the Head_Minutes,Physical Aggressiveness_Minutes,None_Minutes,AvgPenaltyMinutesPerGame,AvgPenaltyCountPerGame
AIC,34,329,131,28,188,,5.0,54,26,56,10.0,42,,9.676470588235293,3.8529411764705883
ASU,39,564,196,26,298,30.0,10.0,62,44,80,15.0,97,,14.461538461538462,5.0256410256410255
Air Force,35,452,178,27,259,20.0,,58,60,58,5.0,78,,12.914285714285715,5.085714285714285
Alaska,34,505,183,24,305,,,62,61,74,20.0,88,,14.852941176470589,5.382352941176471
Army,35,346,150,23,215,40.0,,52,44,56,7.0,56,,9.885714285714286,4.285714285714286
BC,31,333,139,20,194,10.0,5.0,32,46,54,10.0,52,,10.741935483870968,4.483870967741935
BGSU,34,356,153,24,214,20.0,,44,42,58,5.0,65,,10.470588235294118,4.5
BSU,31,240,114,25,179,,,48,38,52,12.0,29,,7.741935483870968,3.6774193548387095
BU,40,427,190,20,250,10.0,,38,36,80,12.0,84,,10.675,4.75
Bentley,32,386,175,26,246,,,47,60,68,5.0,66,,12.0625,5.46875
Brown,27,315,126,24,215,,,63,36,58,10.0,48,,11.666666666666666,4.666666666666667
CC,35,314,139,24,197,,,32,48,48,7.0,62,,8.971428571428572,3.9714285714285715
Canisius,39,537,189,28,301,20.0,,77,51,58,24.0,91,,13.76923076923077,4.846153846153846
Clarkson,34,379,144,21,222,10.0,,54,36,74,15.0,43,,11.147058823529411,4.235294117647059
Colgate,37,410,153,24,218,10.0,,50,32,66,22.0,48,,11.08108108108108,4.135135135135135
Cornell,32,288,126,23,187,,,45,40,44,10.0,48,,9.0,3.9375
Dartmouth,29,324,129,24,186,10.0,,26,45,58,15.0,42,,11.172413793103448,4.448275862068965
Denver,40,437,192,24,313,,,46,90,82,24.0,71,,10.925,4.8
FSU,34,386,172,23,241,,,50,46,64,15.0,66,,11.352941176470589,5.0588235294117645
HC,39,501,208,25,305,20.0,5.0,62,48,94,20.0,81,,12.846153846153847,5.333333333333333
Harvard,33,289,117,23,173,,,54,34,44,15.0,26,,8.757575757575758,3.5454545454545454
LIU,32,439,177,26,235,10.0,5.0,41,64,60,12.0,58,,13.71875,5.53125
LSSU,35,351,152,26,217,10.0,,58,46,48,7.0,58,,10.028571428571428,4.3428571428571425
Lindenwood,30,507,190,23,304,12.0,,68,62,66,37.0,71,,16.9,6.333333333333333
MSU,34,475,173,20,245,20.0,5.0,55,42,58,25.0,65,,13.970588235294118,5.088235294117647
MTU,34,289,136,24,211,,,36,50,68,14.0,43,,8.5,4.0
Maine,31,317,135,24,185,,,28,56,62,12.0,27,,10.225806451612904,4.354838709677419
Mercyhurst,33,315,141,24,220,20.0,,52,44,66,10.0,48,,9.545454545454545,4.2727272727272725
Merrimack,38,382,154,25,217,20.0,,24,42,70,20.0,61,,10.052631578947368,4.052631578947368
Miami,32,432,169,25,249,,,32,60,76,26.0,55,,13.5,5.28125
Michigan,39,637,223,23,322,70.0,5.0,54,52,80,49.0,87,,16.333333333333332,5.717948717948718
Minnesota,36,292,118,24,190,10.0,,22,42,68,27.0,31,,8.11111111111111,3.2777777777777777
MnSU,37,287,127,24,180,10.0,,50,50,46,2.0,32,,7.756756756756757,3.4324324324324325
NDame,32,390,151,23,246,10.0,,40,52,58,15.0,81,,12.1875,4.71875
NMU,38,431,189,27,275,,,50,60,64,7.0,94,,11.342105263157896,4.973684210526316
Niagara,37,483,169,24,257,,,115,43,34,12.0,53,,13.054054054054054,4.5675675675675675
Northeastern,32,337,137,21,203,20.0,5.0,28,42,48,15.0,70,,10.53125,4.28125
OSU,37,427,182,25,255,30.0,,46,50,60,12.0,87,,11.54054054054054,4.918918918918919
PC,31,312,119,22,165,20.0,,28,32,50,10.0,45,,10.064516129032258,3.838709677419355
PSU,38,322,128,22,232,30.0,,42,40,65,12.0,73,,8.473684210526315,3.3684210526315788
Princeton,32,393,164,22,228,30.0,,56,58,54,5.0,55,,12.28125,5.125
QU,41,280,133,22,198,,,28,92,52,4.0,22,,6.829268292682927,3.2439024390243905
RIT,38,680,243,25,390,40.0,5.0,123,61,78,2.0,126,,17.894736842105264,6.394736842105263
RPI,35,385,139,24,211,10.0,5.0,50,38,60,15.0,48,,11.0,3.9714285714285715
SCSU,38,340,149,24,222,,,43,70,70,17.0,22,,8.947368421052632,3.9210526315789473
SHU,33,281,124,25,179,,,41,48,48,5.0,37,,8.515151515151516,3.757575757575758
SLU,36,414,164,26,255,,,49,58,70,15.0,63,,11.5,4.555555555555555
Stonehill,5,72,25,15,41,,5.0,6,17,4,,14,,14.4,5.0
UAA,28,326,131,25,191,,5.0,38,49,48,10.0,46,,11.642857142857142,4.678571428571429
UConn,32,313,133,23,200,,,40,26,48,5.0,81,,9.78125,4.15625
UMD,37,428,179,23,237,,,32,58,71,9.0,67,,11.567567567567568,4.837837837837838
UML,33,287,127,24,182,,,46,40,60,,36,,8.696969696969697,3.8484848484848486
UMass,32,266,111,23,157,,5.0,42,32,40,5.0,38,,8.3125,3.46875
UND,35,407,165,23,233,,,62,44,58,17.0,52,,11.628571428571428,4.714285714285714
UNH,32,263,115,23,167,,5.0,14,54,52,5.0,42,,8.21875,3.59375
UNO,34,384,143,22,241,20.0,5.0,32,50,63,15.0,81,,11.294117647058824,4.205882352941177
UST,34,371,153,25,228,,,38,43,56,15.0,76,,10.911764705882353,4.5
UVM,33,258,122,24,171,,,26,42,58,7.0,38,,7.818181818181818,3.696969696969697
Union,34,375,153,23,218,,5.0,40,44,62,10.0,62,,11.029411764705882,4.5
WMU,38,333,151,22,227,,,40,48,74,22.0,43,,8.763157894736842,3.973684210526316
Wisconsin,36,436,172,23,260,20.0,,60,53,60,25.0,62,,12.11111111111111,4.777777777777778
Yale,30,332,140,21,171,,,30,50,56,5.0,30,,11.066666666666666,4.666666666666667
