Team,GameCount,TotalPenaltyMinutes,TotalPenaltyCount,UniquePlayersPenalized,Minor_Minutes,Misconduct_Minutes,Stick Infractions_Minutes,Illegal Contact_Minutes,Physical Aggressiveness_Minutes,Game Flow Disruptions_Minutes,Contact to the Head_Minutes,None_Minutes,AvgPenaltyMinutesPerGame,AvgPenaltyCountPerGame
AIC,3,24,12,9,18,,8.0,4.0,2.0,4.0,,,8.0,4.0
ASU,2,33,11,8,17,,,6.0,2.0,4.0,5.0,,16.5,5.5
Air Force,4,28,14,11,22,,8.0,8.0,,6.0,,,7.0,3.5
Alaska,4,44,22,11,32,,8.0,8.0,4.0,12.0,,,11.0,5.5
Army,3,20,10,7,16,,4.0,4.0,2.0,6.0,,,6.666666666666667,3.3333333333333335
Augustana,4,51,20,12,27,,10.0,,8.0,4.0,5.0,,12.75,5.0
BC,2,22,11,10,18,,12.0,2.0,4.0,,,,11.0,5.5
BGSU,4,44,15,11,26,,7.0,8.0,6.0,,5.0,,11.0,3.75
BSU,2,18,9,7,14,,4.0,4.0,2.0,4.0,,,9.0,4.5
BU,2,20,10,7,18,,8.0,2.0,2.0,6.0,,,10.0,5.0
Bentley,2,35,12,7,14,,6.0,4.0,,4.0,,,17.5,6.0
CC,2,28,14,12,20,,10.0,4.0,4.0,,2.0,,14.0,7.0
Canisius,2,39,14,8,22,,4.0,12.0,2.0,4.0,,,19.5,7.0
Clarkson,4,34,17,14,30,,6.0,12.0,8.0,2.0,2.0,,8.5,4.25
Colgate,4,28,14,10,16,,6.0,2.0,2.0,6.0,,,7.0,3.5
Denver,2,18,9,8,14,,4.0,4.0,4.0,2.0,,,9.0,4.5
FSU,4,34,17,11,34,,14.0,6.0,8.0,6.0,,,8.5,4.25
HC,3,49,19,13,31,,12.0,6.0,8.0,,5.0,,16.333333333333332,6.333333333333333
LIU,4,56,21,11,35,,10.0,10.0,10.0,,5.0,,14.0,5.25
LSSU,4,26,13,10,14,,2.0,,4.0,8.0,,,6.5,3.25
Lindenwood,4,61,25,15,37,,2.0,12.0,10.0,8.0,5.0,,15.25,6.25
MSU,4,36,18,15,26,,4.0,10.0,6.0,6.0,,,9.0,4.5
MTU,3,20,10,7,18,,8.0,4.0,4.0,2.0,,,6.666666666666667,3.3333333333333335
Maine,2,18,9,8,12,,4.0,,6.0,2.0,,,9.0,4.5
Mercyhurst,1,8,4,4,6,,2.0,2.0,2.0,,,,8.0,4.0
Merrimack,2,56,17,12,23,,4.0,8.0,6.0,,5.0,,28.0,8.5
Miami,4,42,17,11,26,10.0,6.0,8.0,6.0,4.0,2.0,,10.5,4.25
Michigan,4,61,25,14,28,,8.0,8.0,6.0,6.0,,,15.25,6.25
Minnesota,2,12,6,5,10,,,8.0,2.0,,,,6.0,3.0
MnSU,2,16,8,8,8,,,2.0,6.0,,,,8.0,4.0
NDame,3,20,10,9,18,,2.0,2.0,12.0,2.0,,,6.666666666666667,3.3333333333333335
NMU,2,31,14,9,25,,8.0,4.0,7.0,6.0,,,15.5,7.0
Niagara,2,42,14,9,17,,4.0,2.0,9.0,2.0,,,21.0,7.0
Northeastern,2,14,7,7,6,,6.0,,,,,,7.0,3.5
OSU,3,37,13,11,31,,6.0,,13.0,12.0,,,12.333333333333334,4.333333333333333
PC,3,47,14,10,19,10.0,6.0,2.0,6.0,,5.0,,15.666666666666666,4.666666666666667
PSU,3,18,9,9,10,,6.0,2.0,,2.0,,,6.0,3.0
QU,3,43,16,10,20,,6.0,10.0,4.0,,,,14.333333333333334,5.333333333333333
RIT,2,39,14,12,23,,4.0,6.0,2.0,6.0,5.0,,19.5,7.0
RMU,2,31,10,7,19,10.0,4.0,4.0,7.0,4.0,,,15.5,5.0
RPI,2,32,16,13,20,,8.0,6.0,6.0,,,,16.0,8.0
SCSU,4,52,19,12,34,,6.0,4.0,11.0,8.0,5.0,,13.0,4.75
SHU,2,12,6,5,10,,6.0,,2.0,2.0,,,6.0,3.0
SLU,3,28,14,8,28,,6.0,8.0,6.0,8.0,,,9.333333333333334,4.666666666666667
Stonehill,3,28,14,10,22,,8.0,10.0,4.0,,,,9.333333333333334,4.666666666666667
UAA,4,40,20,14,16,,10.0,4.0,,2.0,,,10.0,5.0
UConn,4,36,18,12,28,,12.0,4.0,4.0,6.0,2.0,,9.0,4.5
UMD,3,46,23,14,30,,8.0,10.0,8.0,4.0,,,15.333333333333334,7.666666666666667
UML,2,12,6,6,6,,,2.0,2.0,2.0,,,6.0,3.0
UMass,3,47,18,13,27,,6.0,6.0,8.0,2.0,5.0,,15.666666666666666,6.0
UND,2,20,10,9,12,,6.0,,,6.0,,,10.0,5.0
UNH,1,12,6,5,8,,2.0,2.0,,4.0,,,12.0,6.0
UNO,2,28,10,6,14,10.0,,4.0,6.0,4.0,,,14.0,5.0
UST,4,36,18,12,24,,6.0,10.0,4.0,4.0,,,9.0,4.5
UVM,2,33,11,7,21,,2.0,11.0,6.0,2.0,,,16.5,5.5
Union,3,41,15,10,23,,4.0,6.0,4.0,2.0,7.0,,13.666666666666666,5.0
WMU,2,20,10,6,16,,4.0,4.0,6.0,2.0,,,10.0,5.0
Wisconsin,4,50,25,14,40,,14.0,4.0,,22.0,,,12.5,6.25
