Referee,GameCount,TotalPenaltyMinutes,TotalPenaltyCount,AvgPenaltyMinutesPerGame,AvgPenaltyCountPerGame,Minor_Minutes,Misconduct_Minutes,Major_Minutes,Illegal Contact_Minutes,Physical Aggressiveness_Minutes,Stick Infractions_Minutes,Game Flow Disruptions_Minutes,Contact to the Head_Minutes,None_Minutes
Sterling Egan,12,315,142,26.25,11.833333333333334,222,,,38.0,63.0,77.0,32.0,12.0,
Anthony Dapuzzo,10,309,116,30.9,11.6,137,,5.0,26.0,28.0,40.0,36.0,7.0,
Brad Albers,11,267,120,24.272727272727273,10.909090909090908,149,20.0,,28.0,45.0,58.0,16.0,2.0,
Bobby Lukkason,13,314,139,24.153846153846153,10.692307692307692,211,10.0,5.0,52.0,57.0,67.0,30.0,5.0,
Shane Paskey,11,278,117,25.272727272727273,10.636363636363637,153,,,30.0,56.0,40.0,20.0,7.0,
Dan Dreger,14,346,145,24.714285714285715,10.357142857142858,228,,,60.0,68.0,59.0,26.0,15.0,
Joe Sullivan,13,283,133,21.76923076923077,10.23076923076923,187,,10.0,53.0,50.0,48.0,34.0,2.0,
Dan Kovarik,13,315,130,24.23076923076923,10.0,179,,,36.0,52.0,50.0,34.0,7.0,
Chris Pitoscia,13,289,128,22.23076923076923,9.846153846153847,165,,,26.0,22.0,60.0,40.0,17.0,
Nick Krebsbach,17,428,166,25.176470588235293,9.764705882352942,272,30.0,,54.0,78.0,62.0,48.0,30.0,
Mike Forys,12,241,115,20.083333333333332,9.583333333333334,178,,,46.0,54.0,40.0,38.0,,
Timm Walsh,12,280,115,23.333333333333332,9.583333333333334,180,20.0,5.0,29.0,48.0,74.0,24.0,5.0,
Cameron Lynch,23,547,219,23.782608695652176,9.521739130434783,294,50.0,,50.0,70.0,110.0,52.0,12.0,
Kevin Graber,14,275,132,19.642857142857142,9.428571428571429,176,,,42.0,14.0,68.0,52.0,,
Sean Fernandez,13,331,121,25.46153846153846,9.307692307692308,168,70.0,,30.0,46.0,46.0,32.0,14.0,
Tony Czech,11,288,102,26.181818181818183,9.272727272727273,151,50.0,5.0,36.0,50.0,32.0,16.0,17.0,
Brad Leblanc,12,271,111,22.583333333333332,9.25,160,,,34.0,22.0,62.0,30.0,12.0,
Tom Steinel,16,362,140,22.625,8.75,186,20.0,5.0,43.0,30.0,72.0,36.0,5.0,
Derek Berkebile,13,245,113,18.846153846153847,8.692307692307692,153,10.0,,37.0,36.0,46.0,32.0,2.0,
William Brennan III,16,382,139,23.875,8.6875,201,10.0,,39.0,58.0,58.0,36.0,10.0,
,510,11267,4410,22.0921568627451,8.647058823529411,6288,670.0,30.0,1384.0,1788.0,1666.0,1138.0,312.0,
Jason Williams,17,320,145,18.823529411764707,8.529411764705882,189,10.0,,43.0,38.0,82.0,26.0,,
Ryan Hersey,13,245,110,18.846153846153847,8.461538461538462,173,10.0,,38.0,48.0,54.0,28.0,5.0,
Scott Roth,11,208,93,18.90909090909091,8.454545454545455,142,,,20.0,46.0,28.0,38.0,10.0,
Anthony Kenney,12,227,100,18.916666666666668,8.333333333333334,139,30.0,,28.0,25.0,58.0,28.0,,
Brian Aaron,12,249,97,20.75,8.083333333333334,149,10.0,,40.0,51.0,28.0,30.0,,
CJ Hanafin,20,340,159,17.0,7.95,224,,,44.0,46.0,100.0,34.0,,
Peter Schlittenhardt,16,276,127,17.25,7.9375,199,,,34.0,57.0,70.0,38.0,,
Barry Pochmara,13,256,102,19.692307692307693,7.846153846153846,149,10.0,,40.0,32.0,34.0,28.0,15.0,
Joe Carusone,19,354,147,18.63157894736842,7.7368421052631575,218,20.0,,38.0,54.0,82.0,34.0,10.0,
Jeremy Tufts,15,252,115,16.8,7.666666666666667,178,,,42.0,40.0,56.0,40.0,,
Steven Rouillard,14,212,106,15.142857142857142,7.571428571428571,162,,,46.0,46.0,48.0,22.0,,
Ryan Sweeney,21,406,159,19.333333333333332,7.571428571428571,228,,,52.0,54.0,68.0,44.0,10.0,
Brandon Schmitt,10,183,75,18.3,7.5,113,10.0,,24.0,24.0,33.0,32.0,,
Brendan Blanchard,13,249,97,19.153846153846153,7.461538461538462,136,,,35.0,45.0,40.0,16.0,,
Bruce Vida,11,173,81,15.727272727272727,7.363636363636363,106,,,16.0,32.0,32.0,24.0,2.0,
Walker Holton,14,217,103,15.5,7.357142857142857,132,,,30.0,48.0,44.0,10.0,,
Colin Kronforst,20,356,145,17.8,7.25,197,,,40.0,56.0,54.0,30.0,17.0,
Chris Leavitt,13,216,93,16.615384615384617,7.153846153846154,123,20.0,,24.0,34.0,40.0,25.0,,
Brett Sheva,12,201,84,16.75,7.0,119,,5.0,18.0,32.0,32.0,30.0,7.0,
Terrence Murphy,12,201,83,16.75,6.916666666666667,115,30.0,,22.0,26.0,34.0,28.0,5.0,
Eugene Binda,11,204,76,18.545454545454547,6.909090909090909,115,10.0,,18.0,39.0,28.0,20.0,10.0,
Scott Hansen,11,157,73,14.272727272727273,6.636363636363637,102,,,22.0,26.0,36.0,18.0,,
