Team,Situation,Duration (min)
07,+/- 1 goal,459.81666666666655
07,+/- 2 goals,167.7166666666667
07,+/- 3 or more goals,138.51666666666665
07,tied,196.79999999999998
10,+/- 1 goal,4180.950000000001
10,+/- 2 goals,2194.1166666666677
10,+/- 3 or more goals,2027.7999999999993
10,tied,1887.816666666666
08,+/- 1 goal,239.6166666666667
08,+/- 2 goals,94.5
08,+/- 3 or more goals,128.7
08,tied,112.91666666666666
12,+/- 1 goal,1359.1833333333334
12,tied,382.68333333333334
12,+/- 2 goals,656.1999999999999
12,+/- 3 or more goals,484.98333333333363
13,+/- 1 goal,466.6000000000001
13,tied,244.0833333333333
13,+/- 2 goals,234.7
13,+/- 3 or more goals,250.3833333333332
14,+/- 1 goal,466.6666666666666
14,tied,172.9666666666667
14,+/- 2 goals,207.03333333333336
14,+/- 3 or more goals,282.3500000000001
15,+/- 1 goal,17.5
15,+/- 2 goals,33.21666666666667
15,+/- 3 or more goals,16.71666666666666
15,tied,0.3999999999999986
19,+/- 1 goal,38.20000000000001
19,+/- 2 goals,59.8
19,+/- 3 or more goals,89.61666666666666
19,tied,5.68333333333333
20,+/- 1 goal,390.73333333333323
20,+/- 2 goals,244.2166666666667
20,+/- 3 or more goals,253.8833333333333
20,tied,132.23333333333332
21,+/- 1 goal,577.7833333333334
21,tied,143.11666666666673
21,+/- 2 goals,298.4000000000001
21,+/- 3 or more goals,195.63333333333335
22,+/- 1 goal,21.350000000000005
22,tied,13.583333333333329
22,+/- 2 goals,16.16666666666667
22,+/- 3 or more goals,4.516666666666659
26,+/- 1 goal,200.4166666666667
26,tied,115.54999999999998
26,+/- 2 goals,82.75000000000003
26,+/- 3 or more goals,81.91666666666666
27,+/- 1 goal,397.4333333333333
27,+/- 2 goals,222.6833333333333
27,+/- 3 or more goals,205.08333333333331
27,tied,341.93333333333334
28,+/- 1 goal,385.2833333333332
28,+/- 2 goals,289.5833333333333
28,+/- 3 or more goals,185.78333333333327
28,tied,144.85
29,+/- 1 goal,25.78333333333334
29,tied,1.1166666666666671
29,+/- 2 goals,11.449999999999992
29,+/- 3 or more goals,15.56666666666667
30,+/- 1 goal,22.81666666666667
30,+/- 2 goals,24.15
30,+/- 3 or more goals,1.4499999999999993
31,+/- 1 goal,11.833333333333332
31,+/- 2 goals,6.650000000000002
31,+/- 3 or more goals,36.95
02,+/- 1 goal,656.9333333333335
02,+/- 2 goals,242.4666666666667
02,+/- 3 or more goals,230.41666666666669
02,tied,145.3
11,+/- 1 goal,5482.316666666658
11,+/- 2 goals,2569.2333333333327
11,+/- 3 or more goals,2502.666666666667
11,tied,2398.7999999999993
03,+/- 1 goal,598.0166666666668
03,tied,333.0499999999999
03,+/- 2 goals,368.76666666666665
03,+/- 3 or more goals,249.31666666666672
04,+/- 1 goal,468.99999999999994
04,+/- 2 goals,334.1333333333333
04,tied,293.05000000000007
04,+/- 3 or more goals,229.68333333333334
05,+/- 1 goal,42.3
05,+/- 2 goals,5.450000000000003
05,tied,38.333333333333336
09,+/- 1 goal,13.766666666666667
09,+/- 2 goals,15.26666666666667
09,+/- 3 or more goals,18.549999999999997
16,+/- 1 goal,31.98333333333333
16,+/- 2 goals,4.449999999999999
16,tied,12.06666666666667
17,+/- 1 goal,508.9666666666667
17,tied,202.98333333333335
17,+/- 2 goals,325.65000000000003
17,+/- 3 or more goals,172.16666666666669
18,+/- 1 goal,483.5166666666666
18,tied,304.6666666666668
18,+/- 2 goals,238.55000000000004
18,+/- 3 or more goals,213.63333333333333
24,+/- 1 goal,497.9833333333334
24,tied,177.18333333333328
24,+/- 2 goals,224.70000000000002
24,+/- 3 or more goals,321.65000000000015
25,+/- 1 goal,404.9
25,+/- 2 goals,286.7333333333334
25,tied,127.44999999999999
25,+/- 3 or more goals,255.7333333333333
01,+/- 1 goal,595.5833333333335
01,+/- 2 goals,329.7333333333334
01,+/- 3 or more goals,228.73333333333332
01,tied,205.6833333333333
